3.0	qid:0	1:11.104811	2:10.877571
3.0	qid:0	1:10.284702	2:11.993494
2.33	qid:0	1:11.5659485	2:5.603866
2.33	qid:0	1:10.170942	2:10.731808
1.33	qid:0	1:4.8249984	2:4.6499805
2.0	qid:0	1:0	2:0
3.0	qid:0	1:11.104811	2:11.331976
2.0	qid:0	1:5.1991343	2:11.127393
2.67	qid:1	1:6.334437	2:4.0349045
2.33	qid:1	1:3.6633945	2:7.335256
3.0	qid:1	1:4.291759	2:7.7537174
3.0	qid:2	1:10.258602	2:15.95356
3.0	qid:2	1:11.190943	2:4.495081
2.33	qid:2	1:11.190943	2:4.975429
2.0	qid:3	1:5.761889	2:6.0510907
2.33	qid:3	1:6.0115232	2:5.333261
2.0	qid:3	1:10.912547	2:7.4084773
2.67	qid:3	1:5.744764	2:9.859341
2.0	qid:3	1:4.9251623	2:10.154375
2.0	qid:3	1:5.107327	2:7.429152
2.33	qid:3	1:4.9251623	2:5.7241583
1.67	qid:3	1:6.7504997	2:6.2003264
2.0	qid:3	1:11.318867	2:10.315126
2.67	qid:4	1:8.6474285	2:9.630789
3.0	qid:4	1:3.6658583	2:4.0625677
2.33	qid:4	1:3.1845388	2:9.630789
1.33	qid:4	1:3.2704186	2:9.630789
2.33	qid:4	1:3.433117	2:9.610571
2.33	qid:4	1:8.13997	2:9.630789
2.0	qid:4	1:8.237728	2:9.610571
2.33	qid:4	1:3.1845388	2:9.630789
1.67	qid:5	1:14.5895405	2:15.634291
2.33	qid:5	1:8.336465	2:10.424154
2.67	qid:5	1:12.219473	2:16.490067
2.67	qid:5	1:13.132376	2:11.331
2.67	qid:5	1:8.336465	2:11.33648
2.67	qid:5	1:13.0319	2:17.105919
2.0	qid:6	1:13.508372	2:16.801865
3.0	qid:6	1:10.746404	2:5.6653447
2.0	qid:6	1:15.613707	2:5.5848446
3.0	qid:6	1:14.278492	2:17.03301
2.67	qid:6	1:11.684971	2:16.54764
1.0	qid:7	1:1.3817508	2:0
2.33	qid:7	1:1.5413433	2:0
3.0	qid:8	1:21.021044	2:26.220463
3.0	qid:8	1:21.797262	2:26.220463
2.0	qid:9	1:15.303681	2:15.001071
2.0	qid:9	1:17.39971	2:14.95558
2.33	qid:9	1:8.100548	2:10.649076
2.67	qid:9	1:14.988533	2:17.489094
2.67	qid:9	1:17.39971	2:14.95558
2.67	qid:9	1:14.201346	2:14.207051
2.67	qid:9	1:15.303681	2:15.001071
2.0	qid:9	1:15.868106	2:12.627085
2.33	qid:9	1:14.988533	2:14.57171
2.0	qid:9	1:17.276005	2:15.001071
2.33	qid:9	1:15.303681	2:15.001071
2.33	qid:10	1:10.881987	2:10.914726
2.67	qid:10	1:10.881987	2:9.723163
2.67	qid:10	1:5.7130427	2:7.1000094
2.33	qid:11	1:15.304783	2:9.039493
1.33	qid:11	1:15.224644	2:8.454662
3.0	qid:11	1:16.322344	2:9.44473
3.0	qid:11	1:18.040178	2:0
3.0	qid:11	1:14.763805	2:10.81539
2.0	qid:11	1:16.238375	2:8.925877
3.0	qid:11	1:15.797194	2:10.697066
1.33	qid:12	1:8.110124	2:4.238905
2.33	qid:13	1:8.079753	2:6.6460867
2.0	qid:13	1:8.974808	2:11.761686
2.33	qid:13	1:8.130792	2:10.317198
2.0	qid:13	1:6.6975	2:0
2.33	qid:13	1:8.079753	2:6.6460867
2.33	qid:13	1:11.529606	2:12.457944
2.67	qid:13	1:8.130792	2:11.485069
2.0	qid:14	1:12.3802395	2:14.538318
2.0	qid:14	1:13.8443165	2:16.659866
2.0	qid:14	1:13.2045765	2:13.564096
2.0	qid:14	1:14.483642	2:15.792093
2.0	qid:14	1:14.337323	2:15.529491
2.0	qid:14	1:14.337323	2:13.87738
2.0	qid:14	1:14.86674	2:16.526897
2.0	qid:15	1:0	2:0
